Wvlgth Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.6160E+03 .3880E-01 .6433E-01 .2553E-01 .2553E-01 .3865E-01 .6418E-01
.6170E+03 .3834E-01 .6371E-01 .2537E-01 .2537E-01 .3819E-01 .6356E-01
.6180E+03 .3982E-01 .6628E-01 .2646E-01 .2646E-01 .3966E-01 .6612E-01
.6190E+03 .4002E-01 .6671E-01 .2669E-01 .2669E-01 .3986E-01 .6655E-01
.6200E+03 .4003E-01 .6665E-01 .2663E-01 .2663E-01 .3986E-01 .6649E-01
.6210E+03 .4018E-01 .6657E-01 .2640E-01 .2640E-01 .4001E-01 .6641E-01
.6220E+03 .3867E-01 .6304E-01 .2437E-01 .2437E-01 .3851E-01 .6288E-01
.6230E+03 .3833E-01 .6154E-01 .2321E-01 .2321E-01 .3816E-01 .6138E-01
.6240E+03 .3820E-01 .6192E-01 .2373E-01 .2373E-01 .3803E-01 .6176E-01
.6250E+03 .3796E-01 .6228E-01 .2432E-01 .2432E-01 .3779E-01 .6211E-01
.6260E+03 .3786E-01 .6214E-01 .2428E-01 .2428E-01 .3770E-01 .6197E-01
