Wvlgth Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.6020E+03 .1847E-01 .1963E-01 .1161E-02 .1161E-02 .1829E-01 .1945E-01
.6030E+03 .1889E-01 .2011E-01 .1219E-02 .1219E-02 .1870E-01 .1992E-01
.6040E+03 .1925E-01 .2053E-01 .1273E-02 .1273E-02 .1906E-01 .2034E-01
.6050E+03 .1927E-01 .2058E-01 .1311E-02 .1311E-02 .1908E-01 .2039E-01
.6060E+03 .1924E-01 .2059E-01 .1346E-02 .1346E-02 .1904E-01 .2039E-01
.6070E+03 .1944E-01 .2083E-01 .1396E-02 .1396E-02 .1924E-01 .2063E-01
.6080E+03 .1946E-01 .2089E-01 .1430E-02 .1430E-02 .1926E-01 .2069E-01
.6090E+03 .1941E-01 .2086E-01 .1450E-02 .1450E-02 .1920E-01 .2065E-01
.6100E+03 .1942E-01 .2089E-01 .1468E-02 .1468E-02 .1921E-01 .2068E-01
.6110E+03 .1942E-01 .2090E-01 .1489E-02 .1489E-02 .1920E-01 .2069E-01
.6120E+03 .1980E-01 .2133E-01 .1530E-02 .1530E-02 .1958E-01 .2111E-01
.6130E+03 .1961E-01 .2114E-01 .1527E-02 .1527E-02 .1939E-01 .2092E-01
.6140E+03 .1910E-01 .2061E-01 .1506E-02 .1506E-02 .1889E-01 .2039E-01
.6150E+03 .1989E-01 .2148E-01 .1594E-02 .1594E-02 .1966E-01 .2125E-01
.6160E+03 .1944E-01 .2102E-01 .1577E-02 .1577E-02 .1921E-01 .2079E-01
.6170E+03 .1926E-01 .2084E-01 .1575E-02 .1575E-02 .1903E-01 .2061E-01
.6180E+03 .2006E-01 .2171E-01 .1650E-02 .1650E-02 .1982E-01 .2147E-01
.6190E+03 .2021E-01 .2188E-01 .1669E-02 .1669E-02 .1997E-01 .2164E-01
.6200E+03 .2026E-01 .2193E-01 .1665E-02 .1665E-02 .2001E-01 .2168E-01
.6210E+03 .2039E-01 .2203E-01 .1640E-02 .1640E-02 .2014E-01 .2178E-01
.6220E+03 .1967E-01 .2115E-01 .1482E-02 .1482E-02 .1942E-01 .2091E-01
.6230E+03 .1954E-01 .2092E-01 .1381E-02 .1381E-02 .1930E-01 .2068E-01
.6240E+03 .1952E-01 .2095E-01 .1429E-02 .1429E-02 .1927E-01 .2070E-01
.6250E+03 .1945E-01 .2093E-01 .1482E-02 .1482E-02 .1920E-01 .2068E-01
.6260E+03 .1945E-01 .2092E-01 .1470E-02 .1470E-02 .1919E-01 .2066E-01
